epoch,step,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,0.7142857313156128,,1.2866369485855103,,
0,9,,,,,0.5249999761581421,1.1861417293548584
0,9,0.3607594966888428,,1.3521136045455933,,,
1,19,,0.7142857313156128,,0.9070444703102112,,
1,19,,,,,0.7749999761581421,0.8177576065063477
1,19,0.6202531456947327,,1.0354076623916626,,,
2,29,,0.9285714030265808,,0.3638785183429718,,
2,29,,,,,0.824999988079071,0.527496874332428
2,29,0.7721518874168396,,0.6839752197265625,,,
3,39,,0.9285714030265808,,0.2112598717212677,,
3,39,,,,,0.824999988079071,0.38037437200546265
3,39,0.8481012582778931,,0.39768528938293457,,,
4,49,,1.0,,0.11722705513238907,,
4,49,,,,,0.949999988079071,0.2567787170410156
4,49,0.9367088675498962,,0.21039897203445435,,,
5,59,,1.0,,0.06409946829080582,,
5,59,,,,,0.949999988079071,0.16886663436889648
5,59,1.0,,0.06932239234447479,,,
6,69,,1.0,,0.014071066863834858,,
6,69,,,,,0.949999988079071,0.0960407704114914
6,69,0.9936708807945251,,0.043246448040008545,,,
7,79,,1.0,,0.009809362702071667,,
7,79,,,,,0.949999988079071,0.1648208349943161
7,79,0.9936708807945251,,0.028450220823287964,,,
8,89,,1.0,,0.010754331015050411,,
8,89,,,,,0.949999988079071,0.1783069670200348
8,89,1.0,,0.012984983623027802,,,
9,99,,1.0,,0.005407735705375671,,
9,99,,,,,0.949999988079071,0.14592339098453522
9,99,1.0,,0.008458975702524185,,,
10,109,,1.0,,0.004628104157745838,,
10,109,,,,,0.949999988079071,0.10002955049276352
10,109,1.0,,0.006049684714525938,,,
11,119,,1.0,,0.005171599332243204,,
11,119,,,,,0.949999988079071,0.07684021443128586
11,119,1.0,,0.004975971765816212,,,
